Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uf,C_0805_2012Metric,128.2,-91.55,-90,top
C2,22uf,C_0805_2012Metric,149.75,-76.8,90,top
C3,100nf,C_0603_1608Metric,146.25,-76.725,90,top
C4,10uf,C_0805_2012Metric,135.25,-89.8,0,top
C5,100uf,C_1206_3216Metric,131.8,-92.075,-90,top
C6,1uf,C_0603_1608Metric,149.525,-80.25,180,top
C7,100nf,C_0603_1608Metric,143.825,-89.4,0,top
C8,10uf,C_0805_2012Metric,132.35,-103,0,top
C9,10uf,C_0805_2012Metric,138,-110.45,90,top
C10,10uf,C_0805_2012Metric,138,-105.8,90,top
C11,0.1uf,C_0603_1608Metric,141.2,-110.375,90,top
C12,0.1uf,C_0603_1608Metric,141.2,-105.775,90,top
C13,0.1uf,C_0603_1608Metric,159.75,-116.525,-90,top
C14,0.1uf,C_0603_1608Metric,165.975,-107.8,0,top
C15,15pF,C_0603_1608Metric,166.025,-106,0,top
CN2,KH-FG0.5-H2.0-24PIN,FPC-SMD_KH-FG0.5-H2.0-24PIN,162.75,-102.0935,180,top
D1,LED,LED_0805_2012Metric,142.75,-76.8125,90,top
D2,LED,LED_0805_2012Metric,182.25,-76.8125,90,top
D3,LED,LED_0805_2012Metric,182.25,-97.6625,90,top
D4,LED,LED_0805_2012Metric,142.75,-97.6625,90,top
D5,LED,LED_0805_2012Metric,195.9375,-94,180,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,194.07,-77.55,180,top
Q1,PMOS,SOT-23,123.8625,-90.6,0,top
R1,10k,R_0805_2012Metric,118.0875,-89,180,top
R2,68r,R_0603_1608Metric,140.25,-76.675,-90,top
R3,68r,R_0603_1608Metric,185.4,-76.775,-90,top
R4,68r,R_0603_1608Metric,185.2,-97.6,-90,top
R5,68r,R_0603_1608Metric,139.8,-97.625,-90,top
R6,5.1k,R_0805_2012Metric,198.43,-85.5625,90,top
R7,5.1k,R_0805_2012Metric,189.68,-85.5625,90,top
R8,10k,R_0805_2012Metric,149.5875,-83.25,180,top
R9,100r,R_0603_1608Metric,174.825,-92.4,0,top
R10,1k,R_0805_2012Metric,118.0875,-92.2,0,top
R11,1k,R_0805_2012Metric,191.6875,-94,180,top
R12,4.7k,R_0805_2012Metric,163.1625,-113.25,180,top
R13,4.7k,R_0805_2012Metric,155.0875,-107,0,top
R14,1k,R_0805_2012Metric,160.5,-107.4125,-90,top
R15,4.7k,R_0805_2012Metric,163.1625,-115.75,180,top
SW1,SW_SPST,SW_SPST_TS-1088-xR020,142.225,-92.4,180,top
SW2,SW_SPST,SW_SPST_TS-1088-xR020,180.375,-92.4,0,top
U1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,162.5925,-81.045,0,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,131.9,-83.45,90,top
U3,XC6206P122MR,SOT-23-3,132.325,-107.4,180,top
U5,XC6206P282MR,SOT-23-3,132.4625,-112.35,180,top
